Key,Source,Context,Changes,English,French,German,Klingon,Spanish
ObjectiveRepair_keyword,,Keywords,KgNone,Repair,Réparer,Reparieren,,Repara
ObjectiveScrap_keyword,,Keywords,KgNone,Scrap,Recycler,Zerlegen,,Desguaza
ObjectiveSpendSkillPoints_keyword,,Keywords,KgNone,Purchase {0} Skill Level(s),Acheter {0} niveau(x) de compétence,Kaufe {0} Fertigkeitslevel(s),,Compra {0} nivel(es) de habilidad
ObjectiveTime_keyword,,Keywords,KgNone,Time,Durée,Zeit,,Tiempo
ObjectiveTreasureChest_keyword,,Keywords,KgNone,Treasure Found,Trésor trouvé,Schatz gefunden,,Tesoro encontrado
ObjectiveWear_keyword,,Keywords,KgNone,Wear,Porter,getragen,,Vestir
ObjectiveZombieKill_keyword,,Keywords,KgNone,Kill,Tuer,Töten,,Mata
RequirementBuff_keyword,,Keywords,KgNone,Effect,Effet,Effekt,,Efecto
RequirementHolding_keyword,,Keywords,KgNone,Using,Avec,Unter Verwendung von,,En uso
RequirementLevel_keyword,,Keywords,KgNone,Level,Niveau,Level,,Nivel
RequirementWearing_keyword,,Keywords,KgNone,Wear,Porter,Tragen,,Vestir
RewardExp_keyword,,Keywords,KgNone,EXP,EXP,ERF,,EXP
RewardLevel_keyword,,Keywords,KgNone,Level,Niveau,Level,,Nivel
RewardQuest_keyword,,Keywords,KgNone,New Quest,Nouvelle quête,Neue Quest,,Nueva misión
RewardRecipe_keyword,,Keywords,KgNone,Recipe Unlocked,Composition déverrouillée,Rezept freigeschaltet,,Receta desbloqueada
RewardSkill_keyword,,Keywords,KgNone,Skill,Compétence,Fertigkeit,,Habilidad
RewardSkillPoint_keyword,,Keywords,KgNone,Skill Point,Point de compétence,Fertigkeitspunkt,,Punto de habilidad
requirementGroupFireaxe,,Requirement Group,KgNone,Holding Fire Axe,Tenir une hache de pompier,Feueraxt halten,,Sostener un hacha de incendio
requirementGroupShotgun,,Requirement Group,KgNone,Holding Shotgun,Tenir un fusil à pompe,Schrotflinte halten,,Sostener una escopeta
tutorialTipQuest01,,Popup Tip,,"Welcome Survivor,\n\nForget what you know about 7 Days to Die it will not help you here. Approach this Mod from a fresh perspective or you will surely be eaten by the horde or surcome to the elements. You will now step into the life of one of the few humans left alive after the outbreak. Humanity will live or die upon your struggle. Prepare to experience the meaning of TRUE SURVIVAL.\n\nDie well my friend.\n\nSpider",,,,
tutorialTipQuest02,,Popup Tip,KgNone,"True Survival Notes!\n\n1)Zombies take much more damage in their heads and very little everywhere else.\n\n2)Zombies move at different and un predictable speeds.\n\n3)Wood and Stone materials do little damage to Iron and Iron materials will do little damage to Steel materials.\n\n4)To read all the True Survival Mod Notes check your journal now.",,,,
skillPointTip,,Popup Tip,KgNone,"True Survival Notes!\n\n1)Dead is Dead! Every time you die you will lose 10 wellness and there is no bottom to wellness. So when the player dies with less than 10 wellness they cannot respawn alive.\n\n2)Extra professions can be learned by collecting 20 profession pages and crafting a profession kit.\n\n3)Hard Stone-After about 6 layers of normal stone rock under the soil of the biome you will find HardStone. It has the color of bedrock but does not chime when hit. This stone is very hard and can only be hurt by Steel Tools, Stone Drills and Explosives that contains Nitroglycerin.",,,,
quest_BasicSurvival,,,,Basic Survival,,,,
quest_BasicSurvival1,,,,Choose your Profession,,,,
quest_BasicSurvival1_subtitle,,,,Choose your Profession,,,,
quest_BasicSurvival1_description,,,,"Locate your Start Here item in your Tool Belt. Enter your crafting menu and click on the Start Here item then click Recipes. Now to the left you will see the list of Professions you have to choose from. Select one and click Craft. Once you have crafted your Profession Case put it in your hand and place it on the ground. Now you can use your Key to open the Profession Case and loot and learn your skills.(If you lose your key you can punch the Profession Case also).",,,,
quest_BasicSurvival9,,,,Craft Fiber Ropes,,,,
quest_BasicSurvival9_subtitle,,,,Craft Fiber Ropes,,,,
quest_BasicSurvival9_description,,,,"This is your Survival 101 training. Learn quick and learn good for your life will depend on it. First lesson: Everything you see in this world, and by everything we mean everything, can be destroyed, rebuilt, and probably be used as a tool. For starters let's make some fiber ropes. Use your bare hands to collect some grass from your surrounding and then craft some fiber ropes in your inventory.",,,,
quest_BasicSurvival2,,,,Craft a stone axe,,,,
quest_BasicSurvival2_subtitle,,,,Craft a stone axe,,,,
quest_BasicSurvival2_description,,,,"Now that we have some fiber ropes we can make one of the most primitive tools known since the dawn of man: a stone axe. Collect some small stones either from the ground or by destroying Boulders. It may take a long time without tools. Then we need some sticks, which can be found by breaking bushes, trees and chairs. Apart from the Stone Axe there are many more advanced tools but for now the stone axe will have to do. When you have it try the boulder and tree again with the axe.",,,,
quest_BasicSurvival3,,,,Craft primitive clothing,,,,
quest_BasicSurvival3_subtitle,,,,Craft primitive clothing,,,,
quest_BasicSurvival3_description,,,,"You are subject to weather conditions, and depending on where you are this will affect you more or less. The dessert is a hot place and you should wear some clothing that will reduce your temperature such as a hat and a bandana. When you are in a snowy area or cold area you want to put on as many clothes as you can get your hands on. So let's prepare for that with some makeshift clothes. Later on you will find better clothing which you can use as blueprint to make your own.",,,,
quest_BasicSurvival4,,,,Craft Wooden Club,,,,
quest_BasicSurvival4_subtitle,,,,Craft Wooden Club,,,,
quest_BasicSurvival4_description,,,,"Going toe to toe with zombies is bad enough. It's even worse when you don't even have a weapon. So let's make at least some sort of club. Collect some sticks to do so. Melee with zombies should be avoided if possible but sometimes it can't be helped. You better be prepared. Melee weapons are better in melee than distance weapons or tools (and a stone axe is not a weapon). Using a weapon will reduce its durability until it breaks. Make sure to repair it before that happens or have a spare weapon handy.",,,,
quest_BasicSurvival5,,,,Craft Bow & Arrows,,,,
quest_BasicSurvival5_subtitle,,,,Craft Bow & Arrows,,,,
quest_BasicSurvival5_description,,,,"Never bring a knife to a gunfight. Never go melee with a zombie. And to keep it this way we will construct a primitive bow and arrows. There are many ways to craft arrows but sometimes the easiest is to find some small stones, sticks and feathers. Feathers can usually be found in bird's nests on the ground. They are not necessarily abundant and sometimes hard to find in the grassland or woods but there should be enough of them to provide you with resources for your ammunition. Also remember, using a bow will decrease its durability. Keep an eye out for that.",,,,
quest_BasicSurvival6,,,,Let's kill something,,,,
quest_BasicSurvival6_subtitle,,,,Let's kill something,,,,
quest_BasicSurvival6_description,,,,"Okay, let's kill something. Find a zombie, swing that big wooden club and smash its head. You are free to hit any other body parts but if you want to kill it for good, hit the head. It may take some practice and more than one swing. Once you killed it, loot it, and you can destroy the remains with your stones axe if you want to.",,,,
quest_BasicSurvival7,,,,Craft cloth fragments,,,,
quest_BasicSurvival7_subtitle,,,,Craft cloth fragments,,,,
quest_BasicSurvival7_description,,,,"Cloth fragments are a common resource used in many tools and items. You can find cloth fragments when you tear down old couches, curtains or mattresses, or by collecting cotton (the white plants) with your hands and making cloth fragments yourself. Collect 95 pieces of Cotton and craft some cloth.",,,,
quest_BasicSurvival8,,,,Craft bandages,,,,
quest_BasicSurvival8_subtitle,,,,Craft bandages,,,,
quest_BasicSurvival8_description,,,,"Did we already mention you should not have melee fights with zombies? At certain times it can't be avoided though because they outrun you or surprise you or cornered you. If a group of braindead was actually able to corner you, you may have other problems... but anyway... in those cases you might get hit and be bleeding, you lose health constantly while you are bleeding so use bandages to stop it. Also keep them handy at all times, maybe even in your belt.",,,,
quest_BasicSurvival10,,,,Craft Bed Roll,,,,
quest_BasicSurvival10_subtitle,,,,Craft Bed Roll,,,,
quest_BasicSurvival10_description,,,,"Crafting a bedroll from cloth fragments gives you a place to sleep and (more importantly) to respawn should you die. Without a bedroll you will respawn randomly in this world, probably hours away from where your friends are and your bag pack dropped with all your items. Place bedroll and you can respawn at a fixed position. Also make sure it doesn't get destroyed or taken. You can place more than one bedroll but only the last one placed will count as respawn point.",,,,
quest_BasicSurvival11,,,,Craft Campfire,,,,
quest_BasicSurvival11_subtitle,,,,Craft Campfire,,,,
quest_BasicSurvival11_description,,,,"Building a campfire will provide you with 5 things: heat, in case you are cold (actually, even when not, the fire doesn't care if you are hot or cold), it will supply you with light during the night, you can cook food if you have the proper cooking equipment, you can boil water which is an ingredient in many recipes, and if you keep the fire on long enough, it will supply you with a stream of zombies which are attracted by the activity. Those are the facts of life.",,,,
quest_BasicSurvival12,,,,Craft Stone Shovel,,,,
quest_BasicSurvival12_subtitle,,,,Craft Stone Shovel,,,,
quest_BasicSurvival12_description,,,,"Another tool. The Stone Shovel is not as versatile as the axe and certainly not used that often but better at digging dirt and sand than the axe. Again, using it will reduce its durability, so keep an eye out for that and repair the shovel when necessary or have another handy.",,,,
quest_BasicSurvival13,,,,Craft a Bone Shiv,,,,
quest_BasicSurvival13_subtitle,,,,Craft a Bone Shiv,,,,
quest_BasicSurvival13_description,,,,"There's more than one way to skin a cat…or bear, or dog, or rabbit, or deer, or pig, or chicken. And using the stone axe isn't one of them. Well, actually you can do it but it yields not as much resources as if you were to do it with the proper tool like a knife or a bone shiv. In order to be able to craft a bone shiv in your inventory you need a Femur bone which can be found on dead bodies of zombies. Just hit them with your stone axe until you get a Femur bone. Bone shivs can also be used as weapons but they are not that effective.",,,,
quest_BasicSurvival14,,,,Clean some water,,,,
quest_BasicSurvival14_subtitle,,,,Clean some water,,,,
quest_BasicSurvival14_description,,,,"Water is vital. Water is life. There's not much clean water left and if you don't drink, you will die. The easiest way to get water is find some cans and boil the water with a stick on a campfire. Of course you can also drink unclean water but it will probably give you diarrhea.",,,,
quest_BasicSurvival15,,,,Craft Iron Reinforced Club,,,,
quest_BasicSurvival15_subtitle,,,,Craft Iron Reinforced Club,,,,
quest_BasicSurvival15_description,,,,"Okay, it's time to improve. So far the wooden club was useful, but there's a way to make it even better. Use scrap metal and attach it to your wooden club. Why? Because it hurts more.",,,,
quest_BasicSurvival16,,,,Making Food Servings,,,,
quest_BasicSurvival16_subtitle,,,,Making Food Servings,,,,
quest_BasicSurvival16_description,,,,"You need to eat. If you don't you will starve and die. That's the facts of life. Find some food. Basic raw foods can be scraped into servings and used to cook more nutritious meals. Make some food servings to get the hang of it. Be on the lookout for wild growing foods like Blue Berries, Potato’s, Apples and Carrots.",,,,
quest_BasicSurvival17,,,,Craft a torch,,,,
quest_BasicSurvival17_subtitle,,,,Craft a torch,,,,
quest_BasicSurvival17_description,,,,"It gets dark at night. There are several ways to light your place. The easiest is a torch. You may already carry one but it's time to make another one and hang it on a wall. Find some coal and a stick and there's your torch. If you place it on a wall, it will consume combustible materials and warm you if you are close. If it runs out of materials to burn the light will go out. (side note: apparently torches put a strain on your computer's GPU resources, so don't use too many or your frame rate will drop. Use candles and other lights instead.)",,,,
quest_BasicSurvival18,,,,Craft a splint,,,,
quest_BasicSurvival18_subtitle,,,,Craft a splint,,,,
quest_BasicSurvival18_description,,,,"Sometimes you may fall too far because you had no slipped or because you were cornered (again, don't get cornered by a braindead mob). Or you got too close to that crawling pest and now your leg is sprained or broken, which will severely impair your movement. A splint will help you heal faster. It's not perfect but better than nothing. Oh, and a splint doesn't mean your leg is immune to further damage. A sprained leg even when splinted will break easier, and a broken leg may result in a second broken leg which doesn't necessarily help your situation.",,,,
quest_BasicSurvival19,,,,Craft PLACE and UPGRADE spikes,,,,
quest_BasicSurvival19_subtitle,,,,Craft PLACE and UPGRADE spikes,,,,
quest_BasicSurvival19_description,,,,"Let's get serious with pest control. You can't watch your back all the time and neither can you watch your little hideout all the time. You need a passive defense. Spikes will do that for you. They are easily crafted using sticks. They will do a little damage but will trap the Zombies making them easier for you to kill. Get going and find some sticks. Then craft 10 Wooden Spikes and place them then upgrade them with a stoneaxe using sticks to finish them.",,,,
quest_BasicSurvival20,,,,Craft hay bales,,,,
quest_BasicSurvival20_subtitle,,,,Craft hay bales,,,,
quest_BasicSurvival20_description,,,,"Why on earth would I need a hay bale you might ask. One hit from a zombie and the hay bale is gone. And you're right. It just takes one hit. But then again, it's a hay bale not a wall of steel. Hay bales can server other purposes. They are cheap steps very early if there's something above you which you can't reach (like a window or rooftop). They provide cover, which is good. Zombies that don't see you don't attack you. And last but not least you can fall from any height on a hay bale and be fine. Now isn't that something? Go get some.",,,,
quest_BasicSurvival21,,,,Cure and Dry Leather,,,,
quest_BasicSurvival21_subtitle,,,,Cure and Dry Leather,,,,
quest_BasicSurvival21_description,,,,"All survivors need to know how to cure and dry leather so that will be your next task. Kill an animal and use a knife or shiv to harvest Animal Hides and Brain Matter from its body then find some Lumps of Coal. IF you needed to build a forge you could use these hides to craft a Bellows but for now let’s cure some. On the Campfire with a pot cook the Animal Hide, Brain Matter and Coal to create Cured Leather. Once you have the Cured Leather you can Dry it on a Drying Rack or bind 4 together with sticks by crafting "ToDryLeather" then place them above ground in the sunlight and wait for them to dry.",,,,
quest_WhiteRiverCitizen,,Quest Info,KgNone,White River Citizen,Citoyen de la Rivière blanche,Bürger von White River,,Ciudadano de Río Blanco
quest_WhiteRiverCitizen1,,Quest Info,KgNone,White River Citizen 1/1,Citoyen de la Rivière blanche 1/1,Bürger von White River 1/1,,Ciudadano de Río Blanco 1/1
quest_WhiteRiverCitizen1_subtitle,,Quest Info,KgNone,Journey to Settlement,Voyage vers le hameau,Reise zur Siedlung,,Camino al asentamiento
quest_WhiteRiverCitizen1_description,,Quest Info,KgNone,"Good Job Survivor,\n\nYou have proved to be capable with much potential. We have marked your map with the nearest White River Outpost location. There you will find a Trader where you can buy and sell goods, and trade stories with one of our friendly citizens.\n\nWelcome Aboard, Noah","Beau travail,\n\nTu as montré de quoi tu es capable. Ta carte indique désormais l'emplacement de l'avant-poste de la Rivière blanche le plus proche. Tu y trouveras un marchand à qui acheter et vendre des marchandises et avec qui partager tes histoires.\n\nBienvenue, Noah","Gute Arbeit, Überlebender!\n\nDu hast bewiesen, dass eine ganze Menge Potential in dir schlummert. Wir haben den nächstgelegenen Außenposten von White River auf deiner Karte markiert. Dort wirst du einen Händler finden, bei dem du Waren kaufen und verkaufen kannst, und du kannst Geschichten mit einem unserer friedlichen Bürger austauschen.\n\nWillkommen an Bord! Noah",,"Bien hecho, sobreviviente.\n\nHas demostrado ser capaz y tener un gran potencial. Hemos marcado tu mapa con el puesto de avanzada de Río Blanco más cercano. Allí, encontrarás a un vendedor al que podrás comprar y vender bienes e intercambiar historias con uno de nuestros amigables ciudadanos.\n\nBienvenido a bordo, Noah."
challenge_silenceofthelambs,,Challenge Info,KgNone,Silence of the Lambs,Le silence des agneaux,Das Schweigen der Lämmer,,El silencio de los inocentes
challenge_silenceofthelambs_offer,,Challenge Info,KgNone,"Dear Survivor,\nIf you've found this note then you know my crew and I have been watching you from afar. You're pretty good at survival but let's see if you can pass this test and just maybe we'll let you join our clan.\n\nGood Luck, Crazy Jake\n\nChallenge: Kill a screamer zombie.","Salut la terreur,\nSi tu as trouvé ce message, tu sais maintenant que mon équipe et moi t'observons de loin. Tu te débrouilles pas mal en survie, mais voyons si tu réussis ce test. On te laissera peut-être rejoindre notre clan après ça.\n\nBonne chance, Jake le cinglé\n\nDéfi : tuer un zombie hurleur","Lieber Überlebender!\nWenn du diese Notiz gefunden hast, dann weißt du, dass meine Leute und ich dich aus der Ferne beobachtet haben. Du schlägst dich ganz gut im Überlebenskampf, aber sehen wir mal, ob du diesen Test bestehst. Und vielleicht darfst du dich dann unserem Klan anschließen.\n\nViel Glück! Crazy Jake\n\nHerausforderung: Töte einen Schreier-Zombie.",,"Querido/a sobreviviente:\nSi encuentras esta nota, sabrás que mi grupo y yo te hemos estado vigilando desde lejos. Se te da muy bien eso de sobrevivir, pero veamos si puedes pasar esta prueba. Si lo haces, quizá te puedas unir a nuestro clan.\n\nBuena suerte, Jake el Loco.\n\nDesafío: Mata a un zombi gritón."
challenge_silenceofthelambs_subtitle,,Challenge Info,KgNone,Kill some Screamer Zombie,Tuer des zombies hurleurs,Töte einen Schreier-Zombie,,Mata zombis gritones
challenge_drunkanddisorderly,,Challenge Info,KgNone,Drunk and Disorderly,Bagarre d'ivrogne,Dicht und dichter,,Embriaguez y escándalo
challenge_drunkanddisorderly_offer,,Challenge Info,KgNone,"Listen Punk,\nIf you've come to possess this note then know this. We've been watching you. You're pretty crafty but let's see if you can do this task and just maybe you can join our little band of merry survivors.\n\nCrazy is my middle name... Jake\n\nChallenge: Kill some zombies with your fists while drunk","Écoute un peu,\nSi tu as ce message entre les mains, tu le sais déjà. On te surveille. Tu es assez habile, mais voyons si tu réussis cette tâche. On verra ensuite si tu peux rejoindre notre joyeuse bande de survivants.\n\nJake, surnommé le cinglé...\n\nDéfi : tuer des zombies à mains nues en étant ivre","Pass mal auf, du!\nWenn du im Besitz dieser Notiz bist, dann ist eines sicher: Wir beobachten dich. Du bist ja ganz clever, aber mal sehen, ob du diese Aufgabe erledigen kannst. Und vielleicht darfst du dich dann unserer kleinen Gruppe fröhlicher Überlebender anschließen.\n\nCrazy ist mein zweiter Vorname … Jake\n\nHerausforderung: Töte betrunken ein paar Zombies mit deinen Fäusten",,"Oye, tú:\nSi tienes esta nota, entonces debes saberlo. Te hemos estado vigilando. Eres muy hábil, pero vamos a ver si puedes hacer esto. Si lo haces, quizás te dejemos unirte a nuestra pequeña banda de alegres sobrevivientes.\n\nLoco es mi segundo nombre... Jake.\n\nDesafío: Mata zombis a puñetazos mientras estás borracho."
challenge_drunkanddisorderly_subtitle,,Challenge Info,KgNone,Fist Fight Zombies Drunk,Tuer des zombies à mains nues en étant ivre,Betrunkener Faustkampf mit Zombies,,Emborráchate y pelea a puñetazos contra zombis.
challenge_nurseyoubacktohealth,,Challenge Info,KgNone,Nurse You Back to Health,Besoin d'infirmières,Die kranken Schwestern,,Cuidarte hasta curarte
challenge_nurseyoubacktohealth_offer,,Challenge Info,KgNone,"Hey Survivor,\nIf you've come into possession of this note then you should know we've been tailing you. We like your style but before we roll out the red carpet to our camp let's see if you can handle this little test.\n\nCrazy ‘and I like it' Jake\n\nChallenge: Kill some nurse zombies","La terreur,\nSi tu as trouvé ce message, tu sais qu'on te suit de près. Tu nous plais bien, mais avant de voir si on peut te dérouler le tapis rouge vers notre camp, il va falloir passer ce petit test.\n\nJake le cinglé, et pas qu'un peu\n\nDéfi : tuer des infirmières zombies","Hallo Überlebender!\nWenn du im Besitz dieser Notiz bist, heißt das, dass wir dich beobachten. Dein Stil gefällt uns, aber bevor wir dir den roten Teppich zu unserem Lager ausrollen, musst du erst diesen kleinen Test bestehen.\n\nCrazy „und so gefällt es mir“ Jake\n\nHerausforderung: Töte ein paar Krankenschwester-Zombies",,"Oye, sobreviviente:\nSi encontraste esta nota, sabrás que te estamos siguiendo. Nos gusta tu estilo, pero antes tender la alfombra roja a nuestro campamento, veamos si puedes pasar esta prueba.\n\nJake, loco de remate.\n\nDesafío: Mata a zombis enfermeros."
challenge_nurseyoubacktohealth_subtitle,,Challenge Info,KgNone,Kill some Nurse Zombies,Tuer des infirmières zombies,Töte ein paar Krankenschwester-Zombies,,Mata a Zombis Enfermeros.
challenge_copanattitude,,Challenge Info,KgNone,Cop an Attitude,Filature,Dein Freund und Helfer,,Siempre llevando la contra
challenge_copanattitude_offer,,Challenge Info,KgNone,"Traveler,\nThe fact that you're reading this note is no accident. My boys have been watching you and we're always looking for new recruits that are still on the living side of things. But before we get all chummy we'd like you to do this little thing to see what you're made of.\n\nThey call me Crazy Jake\n\nChallenge: Kill some zombie cops","Salut la compagnie,\nSi tu lis ce message, ce n'est pas par hasard. Ça fait quelque temps qu'on t'observe, mes gars et moi. On cherche toujours de nouvelles recrues parmi les vivants. Mais avant qu'on se serre la pince, on voudrait que tu nous montres de quoi tu es capable.\n\nJake le cinglé, comme on m'appelle\n\nDéfi : tuer des flics zombies","Hallo Reisender!\nEs ist kein Zufall, dass du diese Notiz liest. Meine Jungs haben dich beobachtet und wir sind immer auf der Suche nach neuen Rekruten, die noch nicht das Zeitliche gesegnet haben. Aber bevor wir hier einen auf Kumpel machen, musst du diese Kleinigkeit erledigen, um zu zeigen, was du draufhast.\n\nMan nennt mich Crazy Jake\n\nHerausforderung: Töte ein paar Zombie-Polizisten",,"Viajero/a:\nEl que estés leyendo esta nota no es cosa del destino. Mis chicos te han estado observando. Siempre estamos en busca de reclutas nuevos que todavía tengan algo de vida en sus carnes. Pero antes de hacernos amigos, queremos que hagas algo para ver de qué estás hecho.\n\nMe llaman Jake el Loco.\n\nDesafío: Mata a zombis policía."
challenge_copanattitude_subtitle,,Challenge Info,KgNone,Kill some Zombie Cops,Tuer des flics zombies,Töte ein paar Zombie-Polizisten,,Mata a Zombis Policía.
challenge_dogdaysareover,,Challenge Info,KgNone,The Dog Days Are Over,Un mal de chien,Wir gehen nicht vor die Hunde,,Adiós a los días de perro
challenge_dogdaysareover_offer,,Challenge Info,KgNone,"Congrats Recruit,\nThis note is a personal invitation to join our clan. We've been following you and see potential. Do this job and we'll think about letting you join. Let's see if you're tough enough to kill some zombie dogs.\n\nI'm fucking Crazy Jake\n\nChallenge: Kill some zombie dogs","Félicitations recrue,\nCe message est une invitation à rejoindre notre clan. On te suit depuis un moment et tu as du potentiel. Fais ce petit boulot et on te laissera peut-être nous rejoindre. Voyons si tu as le cran de tuer des chiens enragés.\n\nJe suis Jake, le foutrement cinglé\n\nDéfi : tuer des chiens enragés","Gratuliere Rekrut!\nDiese Notiz ist eine persönliche Einladung, unserem Klan beizutreten. Wir haben dich beobachtet und dein Potenzial erkannt. Erledige diese Aufgabe und wir überlegen uns, dich aufzunehmen. Mal sehen, ob du stark genug bist, um ein paar Zombie-Hunde zu töten.\n\nIch bin der verdammte Crazy Jake\n\nHerausforderung: Töte ein paar Zombie-Hunde",,"Felicitaciones, recluta:\nEsta nota es una invitación personal para que te unas a nuestro clan. Te hemos estado siguiendo y parece que tienes potencial. Termina este trabajito y tal vez consideremos dejar que te unas a nosotros. Veamos si eres lo suficientemente fuerte como para matar algunos perros zombi.\n\nSoy el maldito Jake el Loco.\n\nDesafío: Mata a perros zombi."
challenge_dogdaysareover_subtitle,,Challenge Info,KgNone,Kill some Zombie Dogs,Tuer des chiens enragés,Töte ein paar Zombie-Hunde,,Mata a Perros Zombi.
challenge_itsybitsyspider,,Challenge Info,KgNone,Itsy Bitsy Spider,Une araignée au plafond,Die klitzekleine Spinne,,Itsi bitsi araña
challenge_itsybitsyspider_offer,,Challenge Info,KgNone,"Hey Jackass,\nIf you're reading this note it should come as no surprise that we've been sizing you up. I've got just the test for a simpleton like you. Do it and we might take you in.\n\nCrazier than ever... Jake\n\nChallenge: Kill some spider zombies","Salut la buse,\nSi tu lis ce message, tu dois te douter qu'on t'évalue. J'ai le test idéal pour les idiots dans ton genre. Réussis-le et on te laissera peut-être nous rejoindre.\n\nJake le plus cinglé de tous...\n\nDéfi : tuer des zombies araignées","Hey du Trottel!\nWenn du diese Notiz liest, sollte es dich nicht überraschen, dass wir dich beobachten. Und ich habe genau den richtigen Test für einen Dummkopf wie dich. Erledige ihn und vielleicht nehmen wir dich auf.\n\nVerrückter als je zuvor … Jake\n\nHerausforderung: Töte ein paar Spinnen-Zombies",,"Oye, imbécil:\nSi estás leyendo esta nota, no te extrañará saber que te estemos evaluando. Tengo la prueba perfecta para alguien tan papanatas como tú. Hazlo y puede que te dejemos unirte.\n\nJake, más loco que nunca.\n\nDesafío: Mata a algunas arañas zombi."
challenge_itsybitsyspider_subtitle,,Challenge Info,KgNone,Kill some Spider Zombies,Tuer des zombies araignées,Töte ein paar Spinnen-Zombies,,Mata a algunas Arañas Zombi.
challenge_ladykiller,,Challenge Info,KgNone,Lady Killer,"Femmes, je vous aime",Frauenheld,,Rompecorazones
challenge_ladykiller_offer,,Challenge Info,KgNone,"Dear Stranger,\nMy crew have been following you and have reported some potential. That said if you can pass this challenge we may have room for one more new recruit in our camp.\n\nCrazy ‘Like a Fox' Jake\n\nChallenge: Kill some female zombies","Salut toi,\nMon équipe te suit depuis un certain temps et tu fais preuve de potentiel. Si tu réussis ce défi, il se pourrait qu'on ait de la place pour une nouvelle recrue dans notre campement.\n\nJake le renard cinglé\n\nDéfi : tuer des femmes zombies","Lieber Fremder!\nMeine Leute haben dich beobachtet und berichten, dass du Potenzial hast. Wenn du diese Herausforderung schaffst, haben wir in unserem Lager vielleicht Platz für noch einen neuen Rekruten.\n\nCrazy „wie ein Fuchs“ Jake\n\nHerausforderung: Töte ein paar weibliche Zombies",,"Querido/a extraño/a:\nMi grupo te ha estado siguiendo y dice que tienes potencial. Dicho esto, si pasas este desafío, quizá haya lugar para un recluta nuevo en nuestro campamento.\n\nJake, loco como una cabra.\n\nDesafío: Mata a algunas zombis mujer."
challenge_ladykiller_subtitle,,Challenge Info,KgNone,Kill some Female Zombies,Tuer des femmes zombies,Töte ein paar weibliche Zombies,,Mata a algunas Zombis Mujer.
challenge_maneater,,Challenge Info,KgNone,The Man Eater,Un monde d'hommes,Echte Kerle,,Devorahombres
